airline,price,duration,stops,departure,arrival,returns,datetime,from,to
Ryanair,65 €,1 h 15 min,Directo,22:30,23:45,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,84 €,1 h 15 min,Directo,18:40,19:55,ida y vuelta,2023-04-22T21:29:58.173197,,
Air Europa,107 €,1 h 15 min,Directo,20:00,21:15,ida y vuelta,2023-04-22T21:29:58.173197,,
Iberia Express,131 €,1 h 10 min,Directo,19:55,21:05,ida y vuelta,2023-04-22T21:29:58.173197,,
Ryanair,99 €,1 h 15 min,Directo,11:00,12:15,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,106 €,1 h 15 min,Directo,17:35,18:50,ida y vuelta,2023-04-22T21:29:58.173197,,
Iberia Express,137 €,1 h 15 min,Directo,15:45,17:00,ida y vuelta,2023-04-22T21:29:58.173197,,
IberiaOperado por Iberia Express,137 €,1 h 10 min,Directo,19:55,21:05,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,145 €,1 h 15 min,Directo,9:10,10:25,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,146 €,5 h 10 min,1 escala,13:50,19:00,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,146 €,6 h 25 min,1 escala,13:50,20:15,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,146 €,8 h 5 min,1 escala,13:50,21:55,ida y vuelta,2023-04-22T21:29:58.173197,,
IberiaOperado por Iberia Express,146 €,1 h 15 min,Directo,15:45,17:00,ida y vuelta,2023-04-22T21:29:58.173197,,
Iberia Express,151 €,1 h 15 min,Directo,7:25,8:40,ida y vuelta,2023-04-22T21:29:58.173197,,
Air Europa,159 €,1 h 15 min,Directo,8:15,9:30,ida y vuelta,2023-04-22T21:29:58.173197,,
Air Europa,159 €,1 h 15 min,Directo,12:50,14:05,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,161 €,5 h 35 min,1 escala,13:50,19:25,ida y vuelta,2023-04-22T21:29:58.173197,,
IberiaOperado por Iberia Express,172 €,1 h 15 min,Directo,7:25,8:40,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",185 €,11 h,1 escala,23:00,10:00+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",188 €,26 h 5 min,1 escala,7:55,10:00+1,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,191 €,4 h 25 min,1 escala,13:50,18:15,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,207 €,9 h 40 min,1 escala,22:35,8:15+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",210 €,23 h 40 min,1 escala,23:00,22:40+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Iberia Express,211 €,1 h 15 min,Directo,11:25,12:40,ida y vuelta,2023-04-22T21:29:58.173197,,
IberiaOperado por Iberia Express,221 €,1 h 15 min,Directo,11:25,12:40,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,236 €,10 h 30 min,1 escala,22:35,9:05+1,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,236 €,11 h 15 min,1 escala,22:35,9:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,236 €,11 h 30 min,1 escala,22:35,10:05+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",237 €,3 h 20 min,1 escala,15:40,19:00,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",237 €,4 h 30 min,1 escala,15:40,20:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",237 €,6 h 15 min,1 escala,15:40,21:55,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",237 €,6 h 40 min,1 escala,15:40,22:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",238 €,15 h 55 min,1 escala,15:40,7:35+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",255 €,5 h 25 min,2 escalas,7:55,13:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",255 €,8 h 15 min,2 escalas,7:55,16:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",255 €,9 h 25 min,2 escalas,7:55,17:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",260 €,3 h 10 min,1 escala,14:10,17:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,4 h 35 min,1 escala,7:10,11:45,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,6 h 10 min,1 escala,7:10,13:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,3 h 50 min,1 escala,9:30,13:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,6 h 40 min,1 escala,9:30,16:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,4 h 50 min,1 escala,11:20,16:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,6 h,1 escala,11:20,17:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,2 h 45 min,1 escala,19:35,22:20,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,12 h,1 escala,19:35,7:35+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",287 €,13 h 35 min,1 escala,19:35,9:10+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",288 €,16 h 15 min,1 escala,19:35,11:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",470 €,13 h 40 min,1 escala,8:20,22:00,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",482 €,8 h 55 min,1 escala,10:15,19:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",507 €,10 h 50 min,1 escala,8:20,19:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",507 €,11 h 45 min,1 escala,10:15,22:00,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",507 €,4 h 35 min,1 escala,14:35,19:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",507 €,4 h 55 min,1 escala,17:05,22:00,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",507 €,3 h,1 escala,19:00,22:00,ida y vuelta,2023-04-22T21:29:58.173197,,
"Air Europa,Swiftair",522 €,7 h 25 min,1 escala,14:35,22:00,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air Portugal,639 €,19 h 55 min,1 escala,17:55,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air PortugalOperado por Portugalia Airlines,639 €,17 h 40 min,1 escala,20:10,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air Portugal,639 €,15 h 35 min,1 escala,22:15,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air PortugalOperado por Bulgaria Air,690 €,26 h 45 min,1 escala,11:05,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air Portugal,741 €,24 h 15 min,1 escala,13:35,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air Portugal,741 €,21 h 30 min,1 escala,16:20,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197,,
British Airways,793 €,13 h 30 min,1 escala,20:45,10:15+1,ida y vuelta,2023-04-22T21:29:58.173197,,
Tap Air Portugal,808 €,6 h 30 min,1 escala,7:40,14:10,ida y vuelta,2023-04-22T21:29:58.173197,,
"Iberia,British Airways",914 €,11 h 35 min,1 escala,7:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197,,
"Iberia,British Airways",914 €,10 h 35 min,1 escala,8:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197,,
British AirwaysOperado por Finnair for British Airways,914 €,7 h 35 min,1 escala,11:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197,,
"Iberia,British AirwaysOperado por Iberia Express for Iberia",1.013 €,9 h 20 min,1 escala,8:45,18:05,ida y vuelta,2023-04-22T21:29:58.173197,,
British Airways,1.045 €,6 h 25 min,1 escala,12:10,18:35,ida y vuelta,2023-04-22T21:29:58.173197,,
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",1.392 €,30 h 40 min,1 escala,16:00,22:40+1,ida y vuelta,2023-04-22T21:29:58.173197,,
VuelingIberia,50 €,1 h 20 min,Directo,9:30,10:50,ida y vuelta,2023-04-22T21:30:32.804734
Billetes separados que se han reservado juntos,67 €,Air Europa,MAD–BCN,7:30,8:55,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,13:40,15:00,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,18:30,19:50,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,22:35,23:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,100 €,12 h 50 min,1 escala,8:20,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,104 €,1 h 20 min,Directo,21:35,22:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,117 €,5 h 50 min,2 escalas,15:20,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,9 h 35 min,1 escala,8:20,17:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,7 h 40 min,1 escala,10:15,17:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,10 h 55 min,1 escala,10:15,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,4 h 5 min,1 escala,17:05,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,10 h 10 min,1 escala,21:45,7:55+1,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,125 €,1 h 20 min,Directo,8:30,9:50,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,129 €,1 h 20 min,Directo,12:25,13:45,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,129 €,1 h 20 min,Directo,16:00,17:20,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,132 €,1 h 20 min,Directo,8:00,9:20,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,139 €,1 h 20 min,Directo,18:00,19:20,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,139 €,1 h 20 min,Directo,20:00,21:20,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,145 €,1 h 20 min,Directo,11:30,12:50,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,145 €,1 h 20 min,Directo,17:30,18:50,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,145 €,1 h 20 min,Directo,19:00,20:20,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,151 €,1 h 20 min,Directo,7:30,8:50,ida y vuelta,2023-04-22T21:30:32.804734
Air EuropaOperado por Air Europa Express,153 €,6 h 35 min,1 escala,14:35,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,158 €,1 h 20 min,Directo,16:30,17:50,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,164 €,1 h 20 min,Directo,14:50,16:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,168 €,2 h 45 min,1 escala,8:20,11:05,ida y vuelta,2023-04-22T21:30:32.804734
Air EuropaOperado por Air Europa Express,168 €,3 h 20 min,1 escala,14:35,17:55,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,177 €,1 h 20 min,Directo,7:00,8:20,ida y vuelta,2023-04-22T21:30:32.804734
Air EuropaOperado por Air Europa Express,196 €,12 h 55 min,1 escala,19:00,7:55+1,ida y vuelta,2023-04-22T21:30:32.804734
Billetes separados que se han reservado juntos,207 €,easyJet,MAD–BCN,23:20,16:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Billetes separados que se han reservado juntos,216 €,easyJet,MAD–BCN,16:10,16:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,228 €,1 h 25 min,Directo,15:10,16:35,ida y vuelta,2023-04-22T21:30:32.804734
"Air EuropaOperado por Air Europa Express,Air Europa Express",268 €,6 h,2 escalas,15:10,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,311 €,13 h 20 min,1 escala,21:45,11:05+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Bulgaria Air,318 €,9 h 10 min,1 escala,16:20,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air Portugal,320 €,5 h 20 min,1 escala,20:10,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air Portugal,350 €,9 h 15 min,1 escala,7:40,16:55,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air Portugal,350 €,17 h 50 min,1 escala,7:40,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air Portugal,350 €,7 h 35 min,1 escala,17:55,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Bulgaria Air,352 €,5 h 50 min,1 escala,11:05,16:55,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Bulgaria Air,352 €,14 h 25 min,1 escala,11:05,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air Portugal,449 €,11 h 55 min,1 escala,13:35,1:30+1,ida y vuelta,2023-04-22T21:30:32.804734
"Tap Air PortugalOperado por Bulgaria Air,Bulgaria Air",515 €,5 h 30 min,1 escala,16:20,21:50,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Bulgaria Air,515 €,3 h 55 min,1 escala,17:55,21:50,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,515 €,20 h 45 min,1 escala,20:10,16:55+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,515 €,18 h 40 min,1 escala,22:15,16:55+1,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",562 €,10 h 15 min,1 escala,8:00,18:15,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",583 €,7 h 35 min,1 escala,14:55,22:30,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",588 €,9 h 5 min,1 escala,9:10,18:15,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,597 €,5 h 45 min,1 escala,13:35,19:20,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Bulgaria Air,597 €,8 h 15 min,1 escala,13:35,21:50,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,597 €,20 h 15 min,1 escala,17:55,14:10+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,597 €,18 h,1 escala,20:10,14:10+1,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,597 €,15 h 55 min,1 escala,22:15,14:10+1,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",605 €,7 h 45 min,1 escala,8:00,15:45,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",631 €,8 h 45 min,1 escala,7:00,15:45,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",631 €,6 h 35 min,1 escala,9:10,15:45,ida y vuelta,2023-04-22T21:30:32.804734
British Airways,631 €,12 h 40 min,1 escala,20:45,9:25+1,ida y vuelta,2023-04-22T21:30:32.804734
British Airways,650 €,9 h 40 min,1 escala,10:30,20:10,ida y vuelta,2023-04-22T21:30:32.804734
British AirwaysIberia,651 €,7 h 45 min,1 escala,10:30,18:15,ida y vuelta,2023-04-22T21:30:32.804734
British Airways,672 €,12 h,1 escala,10:30,22:30,ida y vuelta,2023-04-22T21:30:32.804734
"Iberia,British Airways",672 €,6 h 45 min,1 escala,15:45,22:30,ida y vuelta,2023-04-22T21:30:32.804734
Tap Air PortugalOperado por Portugalia Airlines,892 €,6 h 30 min,1 escala,7:40,14:10,ida y vuelta,2023-04-22T21:30:32.804734
Brussels Airlines,4.559 €,7 h 50 min,1 escala,12:40,20:30,ida y vuelta,2023-04-22T21:30:32.804734
Lufthansa,4.796 €,5 h 35 min,1 escala,7:15,12:50,ida y vuelta,2023-04-22T21:30:32.804734
Lufthansa,4.796 €,5 h 50 min,1 escala,11:55,17:45,ida y vuelta,2023-04-22T21:30:32.804734
Lufthansa,4.796 €,6 h 5 min,1 escala,15:25,21:30,ida y vuelta,2023-04-22T21:30:32.804734
Air FranceOperado por DOT LT,Precio no disponible,5 h 30 min,1 escala,6:10,11:40,No disponible,2023-04-22T21:30:32.804734
Air France,Precio no disponible,4 h 50 min,1 escala,12:20,17:10,No disponible,2023-04-22T21:30:32.804734
Air France,Precio no disponible,5 h 5 min,1 escala,17:50,22:55,No disponible,2023-04-22T21:30:32.804734
IberiaOperado por Air Nostrum for Iberia,82 €,1 h 10 min,Directo,7:25,8:35,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,90 €,1 h 20 min,Directo,7:00,8:20,ida y vuelta,2023-04-22T21:31:08.108502
IberiaOperado por Air Nostrum for Iberia,139 €,1 h 10 min,Directo,12:00,13:10,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,177 €,3 h 25 min,1 escala,8:20,11:45,ida y vuelta,2023-04-22T21:31:08.108502
Air EuropaOperado por Air Europa Express,191 €,1 h 20 min,Directo,15:10,16:30,ida y vuelta,2023-04-22T21:31:08.108502
VuelingIberia,192 €,9 h 50 min,1 escala,13:40,23:30,ida y vuelta,2023-04-22T21:31:08.108502
"IberiaOperado por Iberia Express,Air Nostrum for Iberia,Air Nostrum for Iberia",195 €,6 h 25 min,2 escalas,7:05,13:30,ida y vuelta,2023-04-22T21:31:08.108502
